Date;FFF 3 months;FFF 6 months;FFF 12 months;FFF 24 months
30.12.2011;9;11;15;27
29.12.2011;9;12;15;31
28.12.2011;9;12;15;32
27.12.2011;9;12;15;33
23.12.2011;9;12;15;32
22.12.2011;9;12;15;29
21.12.2011;9;12;15;28
20.12.2011;9;12;15;27
19.12.2011;9;12;15;25
16.12.2011;9;12;14;28
15.12.2011;10;12;14;28
14.12.2011;10;13;14;28
13.12.2011;10;13;14;28
12.12.2011;10;13;14;28
09.12.2011;10;13;14;28
08.12.2011;10;13;14;28
07.12.2011;10;13;14;30
06.12.2011;10;13;14;31
05.12.2011;11;13;13;31
02.12.2011;11;13;13;31
01.12.2011;11;13;13;31
30.11.2011;11;13;13;26
29.11.2011;12;13;13;25
28.11.2011;12;13;14;28
25.11.2011;12;14;14;29
23.11.2011;11;12;13;28
22.11.2011;11;12;13;28
21.11.2011;11;12;14;28
18.11.2011;11;12;14;28
17.11.2011;10;12;13;28
16.11.2011;9;10;12;26
15.11.2011;9;10;11;27
14.11.2011;9;10;11;27
11.11.2011;9;10;11;24
10.11.2011;9;11;11;24
09.11.2011;9;11;11;23
08.11.2011;9;11;12;23
07.11.2011;9;11;12;22
04.11.2011;9;11;12;22
03.11.2011;9;11;12;23
02.11.2011;9;11;12;22
01.11.2011;9;11;12;24
31.10.2011;8;11;13;26
28.10.2011;8;11;15;32
27.10.2011;8;11;15;36
26.10.2011;8;11;14;31
25.10.2011;8;11;14;30
24.10.2011;8;11;14;33
21.10.2011;8;11;14;33
20.10.2011;8;11;14;33
19.10.2011;9;11;14;33
18.10.2011;9;11;14;33
17.10.2011;9;11;14;36
14.10.2011;9;11;13;37
13.10.2011;9;12;14;36
12.10.2011;9;12;14;40
11.10.2011;9;13;14;40
10.10.2011;9;13;14;36
07.10.2011;9;13;14;34
06.10.2011;9;13;14;33
05.10.2011;9;12;13;31
04.10.2011;9;13;13;31
03.10.2011;9;13;13;30
30.09.2011;9;11;13;28
29.09.2011;9;10;12;27
28.09.2011;9;9;10;27
27.09.2011;9;9;10;27
26.09.2011;9;9;9;24
23.09.2011;9;9;9;22
22.09.2011;9;9;9;18
21.09.2011;9;9;8;19
20.09.2011;7;7;7;19
19.09.2011;7;7;6;19
16.09.2011;7;7;7;23
15.09.2011;8;7;8;25
14.09.2011;8;8;8;21
13.09.2011;8;9;9;23
12.09.2011;8;9;9;22
09.09.2011;8;9;8;20
08.09.2011;8;9;9;22
07.09.2011;9;9;10;24
06.09.2011;9;9;10;22
02.09.2011;9;9;10;21
01.09.2011;9;9;10;24
31.08.2011;9;8;8;21
30.08.2011;9;8;8;21
29.08.2011;9;8;8;24
26.08.2011;8;8;8;20
25.08.2011;9;8;8;20
24.08.2011;9;8;8;23
23.08.2011;9;9;8;20
22.08.2011;9;9;8;18
19.08.2011;9;9;7;19
18.08.2011;9;8;7;17
17.08.2011;10;10;8;18
16.08.2011;10;10;8;18
15.08.2011;10;10;7;18
12.08.2011;10;10;7;18
11.08.2011;9;9;7;16
10.08.2011;9;9;7;16
09.08.2011;9;9;8;21
08.08.2011;9;10;11;42
05.08.2011;9;10;14;54
04.08.2011;9;11;14;45
03.08.2011;12;15;20;50
02.08.2011;13;16;20;50
01.08.2011;14;16;22;56
29.07.2011;13;15;22;54
28.07.2011;12;15;25;67
27.07.2011;12;15;24;69
26.07.2011;11;15;24;69
25.07.2011;11;15;24;74
22.07.2011;11;15;24;76
21.07.2011;11;15;25;80
20.07.2011;11;15;23;74
19.07.2011;12;15;23;70
18.07.2011;10;14;21;68
15.07.2011;10;14;21;71
14.07.2011;11;14;21;74
13.07.2011;12;14;21;76
12.07.2011;12;15;23;83
